DataSet,Atribute,Operator,Fairness,Time
adult,race,State of art,0.017993880847288576,0
adult,race,State of art,0.01787727636967664,5
adult,race,State of art,0.015004776188733394,10
adult,race,State of art,0.015004776188733394,15
adult,race,State of art,0.012812727703107346,20
adult,race,State of art,0.012812727703107346,25
adult,race,State of art,0.012462914270271519,30
adult,race,State of art,0.012462914270271519,35
adult,race,State of art,0.011763287404599879,40
adult,race,State of art,0.010926840519053994,45
adult,race,State of art,0.010926840519053994,50
adult,race,State of art,0.009760795742934592,55
adult,race,State of art,0.009197988897137195,60
adult,race,State of art,0.009177773354874894,65
adult,race,State of art,0.009177773354874894,70
adult,race,State of art,0.009177773354874894,75
adult,race,State of art,0.008015255620229284,80
adult,race,State of art,0.007665442187393463,85
adult,race,State of art,0.007665442187393463,90
adult,race,State of art,0.007665442187393463,95
adult,race,State of art,0.007665442187393463,100
adult,race,State of art,0.006982503822510325,105
adult,race,State of art,0.006166272479226749,110
adult,race,State of art,0.006166272479226749,115
adult,race,State of art,0.006166272479226749,120
adult,race,State of art,0.006166272479226749,125
adult,race,State of art,0.006166272479226749,130
adult,race,State of art,0.006166272479226749,135
adult,race,State of art,0.006166272479226749,140
adult,race,State of art,0.006166272479226749,145
adult,race,State of art,0.006166272479226749,150
adult,race,State of art,0.006166272479226749,155
adult,race,State of art,0.006166272479226749,160
adult,race,State of art,0.006166272479226749,165
adult,race,State of art,0.006166272479226749,170
adult,race,State of art,0.006166272479226749,175
adult,race,State of art,0.006166272479226749,180
adult,race,State of art,0.006166272479226749,185
adult,race,State of art,0.006166272479226749,190
adult,race,State of art,0.006166272479226749,195
adult,race,State of art,0.006166272479226749,200
adult,race,State of art,0.006166272479226749,205
adult,race,State of art,0.006166272479226749,210
adult,race,State of art,0.0028753560958573524,215
adult,race,State of art,0.0028753560958573524,220
adult,race,State of art,0.0028753560958573524,225
adult,race,State of art,0.0028753560958573524,230
adult,race,State of art,0.0028753560958573524,235
adult,race,State of art,0.0024089381854095968,240
adult,race,State of art,0.002175729230185712,245
adult,race,State of art,0.002175729230185712,250
adult,race,State of art,0.002175729230185712,255
adult,race,State of art,0.002175729230185712,260
adult,race,State of art,0.002175729230185712,265
adult,race,State of art,0.002175729230185712,270
adult,race,State of art,0.002175729230185712,275
adult,race,State of art,0.002175729230185712,280
adult,race,State of art,0.002175729230185712,285
adult,race,State of art,0.002175729230185712,290
adult,race,State of art,0.002175729230185712,295
adult,race,State of art,0.002175729230185712,300
adult,race,State of art,0.002175729230185712,305
adult,race,State of art,0.002175729230185712,310
adult,race,State of art,0.002175729230185712,315
adult,race,State of art,0.002175729230185712,320
adult,race,State of art,0.002175729230185712,325
adult,race,State of art,0.002175729230185712,330
adult,race,State of art,0.002175729230185712,335
adult,race,State of art,0.002175729230185712,340
adult,race,State of art,0.002175729230185712,345
adult,race,State of art,0.002175729230185712,350
adult,race,State of art,0.002175729230185712,355
adult,race,State of art,0.002175729230185712,360
adult,race,State of art,0.002175729230185712,365
adult,race,State of art,0.002175729230185712,370
adult,race,State of art,0.002175729230185712,375
adult,race,State of art,0.002175729230185712,380
adult,race,State of art,0.002175729230185712,385
adult,race,State of art,0.002175729230185712,390
adult,race,State of art,0.002175729230185712,395
adult,race,State of art,0.002175729230185712,400
adult,race,State of art,0.002175729230185712,405
adult,race,State of art,0.002175729230185712,410
adult,race,State of art,0.002175729230185712,415
adult,race,State of art,0.002175729230185712,420
adult,race,State of art,0.002175729230185712,425
adult,race,State of art,0.002175729230185712,430
adult,race,State of art,0.002175729230185712,435
adult,race,State of art,0.002175729230185712,440
adult,race,State of art,0.002175729230185712,445
adult,race,State of art,0.002175729230185712,450
adult,race,State of art,0.002175729230185712,455
adult,race,State of art,0.002175729230185712,460
adult,race,State of art,0.002175729230185712,465
adult,race,State of art,0.002175729230185712,470
adult,race,State of art,0.002175729230185712,475
adult,race,State of art,0.002175729230185712,480
adult,race,State of art,0.002175729230185712,485
adult,race,State of art,0.002175729230185712,490
adult,race,State of art,0.002175729230185712,495
adult,race,State of art,0.002175729230185712,500
adult,race,State of art,0.002175729230185712,505
adult,race,State of art,0.002175729230185712,510
adult,race,State of art,0.002175729230185712,515
adult,race,State of art,0.002175729230185712,520
adult,race,State of art,0.002175729230185712,525
adult,race,State of art,0.002175729230185712,530
adult,race,State of art,0.002175729230185712,535
adult,race,State of art,0.002175729230185712,540
adult,race,State of art,0.002175729230185712,545
adult,race,State of art,0.002175729230185712,550
adult,race,State of art,0.002175729230185712,555
adult,race,State of art,0.002175729230185712,560
adult,race,State of art,0.002175729230185712,565
adult,race,State of art,0.002175729230185712,570
adult,race,State of art,0.002175729230185712,575
adult,race,State of art,0.002175729230185712,580
adult,race,State of art,0.002175729230185712,585
adult,race,State of art,0.002175729230185712,590
adult,race,State of art,0.002175729230185712,595
adult,race,State of art,0.002175729230185712,600
